"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
23,14,2314,"愛知14区",73173,3984,4878,569,843,57757,47,546,5676,509,1385
23,15,2315,"愛知15区",83961,4286,4549,1988,1420,64394,92,686,7208,769,2279
23,16,2316,"愛知16区",93006,5055,13524,2586,670,59954,68,572,15147,657,2238
24,1,2401,"三重1区",87204,3823,4444,1740,745,69820,86,582,6165,719,2289
24,2,2402,"三重2区",97039,3999,6113,1732,895,78271,80,902,5314,754,2771
24,3,2403,"三重3区",96520,5155,9824,3436,767,71375,90,716,6984,682,3020
24,4,2404,"三重4区",66657,3400,1419,632,466,55455,41,887,3417,811,1804
25,1,2501,"滋賀1区",73022,5778,20314,4735,582,36959,81,1746,9071,585,1910
25,2,2502,"滋賀2区",107370,4295,6429,1381,1271,86330,108,567,8578,823,2588
25,3,2503,"滋賀3区",92989,4877,13267,3283,878,61083,80,1272,13509,680,2148
26,1,2601,"京都1区",88727,11002,23501,18944,706,8340,587,4356,30288,767,3125
26,2,2602,"京都2区",55022,6022,17383,10213,457,8340,355,3467,15174,528,2109
26,3,2603,"京都3区",75378,6081,30296,5287,626,14243,163,6721,20172,601,2180
26,4,2604,"京都4区",84141,5814,23178,11748,500,25250,190,5397,20904,687,2578
26,5,2605,"京都5区",52400,3340,633,560,363,42348,56,366,4073,484,1263
26,6,2606,"京都6区",97585,6722,27800,7275,1010,40876,121,6821,15963,752,2694
27,1,2701,"大阪1区",93494,12093,50219,3175,502,3023,578,306,27974,684,3920
27,2,2702,"大阪2区",91066,5743,39645,2816,460,5435,148,979,41545,603,3589
27,3,2703,"大阪3区",68762,4567,31038,4334,684,3575,95,466,28812,426,2774
27,4,2704,"大阪4区",90649,9464,48227,4610,495,2876,450,423,30747,517,3247
27,5,2705,"大阪5区",90948,7274,46649,4161,708,3592,205,1167,34411,486,3299
27,6,2706,"大阪6区",82410,5050,33191,3036,469,5117,75,1915,39754,508,3054
27,7,2707,"大阪7区",87152,7848,40127,6134,691,8267,141,4253,29556,549,2613
27,8,2708,"大阪8区",92974,8484,41413,10234,778,10149,239,4597,29187,691,2769
27,9,2709,"大阪9区",82003,6159,28844,9060,918,15415,127,5232,28287,595,1904
27,10,2710,"大阪10区",69504,4785,25650,9963,782,9284,110,5796,26315,415,1994
27,11,2711,"大阪11区",83358,5745,30808,10375,533,16836,84,8187,22085,574,2318
27,12,2712,"大阪12区",72664,4689,25806,4493,578,9443,93,5394,30485,468,2322
27,13,2713,"大阪13区",80848,5220,28222,1757,450,7919,79,4475,37700,559,3148
27,14,2714,"大阪14区",92389,5236,30415,2700,683,17068,98,5521,38331,634,2654
27,15,2715,"大阪15区",80852,4664,23349,5676,707,30212,67,4957,19404,627,2501
27,16,2716,"大阪16区",72282,4643,28879,3464,798,11913,91,1385,27026,488,2378
27,17,2717,"大阪17区",69206,4423,21131,5685,759,21551,78,3509,19588,525,2279
