"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_管理的職業従事者","就業者数_B_専門的・技術的職業従事者","就業者数_C_事務従事者","就業者数_D_販売従事者","就業者数_E_サービス職業従事者","就業者数_F_保安職業従事者","就業者数_G_農林漁業従事者","就業者数_H_生産工程従事者","就業者数_I_輸送・機械運転従事者","就業者数_J_建設・採掘従事者","就業者数_K_運搬・清掃・包装等従事者","就業者数_L_分類不能の職業"
29,1,2901,"奈良1区",196086,5408,43058,44858,28834,25040,3898,2263,16475,4206,5226,11675,5145
29,2,2902,"奈良2区",197449,4009,36861,39691,24529,24328,3596,4591,27029,5757,6691,14247,6120
29,3,2903,"奈良3区",179978,3522,29205,33867,21721,22292,3164,6643,26966,5751,7852,13174,5821
30,1,3001,"和歌山1区",211580,3998,35948,38531,24531,26497,4106,8004,29306,7758,9561,15542,7798
30,2,3002,"和歌山2区",217200,4309,31087,35494,20609,29389,3677,25580,27185,6673,10748,16261,6188
31,1,3101,"鳥取1区",133629,2919,23266,25347,13452,16977,2351,8491,18210,3764,6412,7901,4539
31,2,3102,"鳥取2区",135724,2821,22316,22538,13927,16880,3762,11298,18351,4675,6583,9484,3089
32,1,3201,"島根1区",153589,3453,25896,31179,15504,19823,3114,9105,19023,4669,8161,9727,3935
32,2,3202,"島根2区",179003,3874,29765,29902,16689,22985,3554,11383,28225,5849,10540,11566,4671
33,1,3301,"岡山1区",189164,4471,38216,37347,23802,22842,3161,6482,23703,5680,7209,12227,4024
33,2,3302,"岡山2区",230758,4844,39025,46187,24512,25723,3352,6600,35871,9181,11170,17653,6640
33,3,3303,"岡山3区",232697,4318,33197,36337,21194,27013,3491,17604,46010,8891,10624,16445,7573
33,4,3304,"岡山4区",215140,3563,35695,36838,24085,23836,2443,3739,40631,9125,11302,16613,7270
34,1,3401,"広島1区",237259,5566,48291,53153,34787,27735,4792,905,24612,7122,9441,14673,6182
34,2,3402,"広島2区",223359,4757,40210,46040,32473,26118,3476,2485,26483,8004,10164,16982,6167
34,3,3403,"広島3区",240852,3815,40008,44581,32314,28236,5165,5911,33635,9067,12870,18156,7094
34,4,3404,"広島4区",228689,3726,37794,38654,21148,25362,12112,7757,42628,9069,8259,15901,6279
