"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
37,3,3703,"香川3区",117400,110262,637,12753,51198,8693,23367,2117,11497,7061,75,2
38,1,3801,"愛媛1区",195352,178289,623,16625,60774,14536,48922,4864,31945,16836,224,3
38,2,3802,"愛媛2区",189957,180182,1305,28729,77933,14938,38760,3592,14925,9688,85,2
38,3,3803,"愛媛3区",149117,141360,1263,26058,64484,12201,25327,1850,10177,7560,197,0
39,1,3901,"高知1区",145761,135411,801,20633,53010,10841,26851,2648,20627,10266,84,0
39,2,3902,"高知2区",135163,127009,1033,26129,53088,9122,18501,1325,17811,8064,90,0
40,1,4001,"福岡1区",212797,194266,287,12188,55780,15708,60449,6539,43315,18347,178,6
40,2,4002,"福岡2区",207347,189538,207,9208,48657,14186,68351,7907,41022,17640,169,0
40,3,4003,"福岡3区",210799,187256,443,15635,59838,14649,60862,7227,28602,23396,142,5
40,4,4004,"福岡4区",193556,178973,385,16213,66908,14165,50011,3790,27501,14503,78,2
40,5,4005,"福岡5区",216757,198831,419,14479,69699,14542,56253,4134,39305,17805,120,1
40,6,4006,"福岡6区",171507,157864,609,16654,72653,12086,39423,3057,13382,13531,108,4
40,7,4007,"福岡7区",137475,128731,783,18878,62725,8366,21379,1581,15019,8632,112,0
40,8,4008,"福岡8区",166097,154386,817,21877,72235,11328,28429,1685,18015,11543,168,0
40,9,4009,"福岡9区",179144,164678,531,16883,67607,11161,38029,5032,25435,14273,186,7
40,10,4010,"福岡10区",186255,173096,500,17311,68808,11907,41353,4236,28981,12920,233,6
40,11,4011,"福岡11区",121746,114541,609,17269,58533,7860,18546,1175,10549,6986,219,0
41,1,4101,"佐賀1区",158948,146188,552,13898,66943,10548,36972,3641,13634,12631,128,1
41,2,4102,"佐賀2区",162309,152714,986,27383,79358,10691,24976,1984,7336,9534,61,0
42,1,4201,"長崎1区",160816,148355,716,19946,58965,9966,34114,4303,20345,12333,127,1
42,2,4202,"長崎2区",192631,180719,1075,32511,84129,12887,32116,3150,14851,11702,210,0
42,3,4203,"長崎3区",172187,162571,1103,31197,82824,9932,24388,1760,11367,9462,154,0
43,1,4301,"熊本1区",201502,181778,450,14465,63601,13348,54685,6257,28972,19528,195,1
43,2,4302,"熊本2区",149330,138786,861,18142,63330,10482,28889,2129,14953,10341,203,0
43,3,4303,"熊本3区",151458,142048,1043,21520,71022,11916,26297,2805,7445,9284,125,1
43,4,4304,"熊本4区",189546,179636,2001,38322,91124,12592,25469,1562,8566,9671,239,0
44,1,4401,"大分1区",184148,169992,545,14338,80503,12255,43710,4474,14167,14107,47,2
